row_number,ground_truth_path,prompt,feedback_1,feedback_level_1,feedback_2,feedback_level_2,feedback_3,feedback_level_3,feedback_4,feedback_level_4,feedback_5,feedback_level_5,feedback_6,feedback_level_6,feedback_7,feedback_level_7,feedback_8,feedback_level_8,feedback_9,feedback_level_9,feedback_10,feedback_level_10,feedback_11,feedback_level_11,feedback_12,feedback_level_12,feedback_13,feedback_level_13,feedback_14,feedback_level_14,feedback_15,feedback_level_15,feedback_16,feedback_level_16,feedback_17,feedback_level_17,feedback_18,feedback_level_18
94,Data\groud_truth\template\BashScriptSSMAutomation.yaml,"We need a CloudFormation template that creates an EC2 instance with automated OS updates, Nginx installation, and validation workflows using AWS Systems Manager (SSM) Automation. The template should:

Deploy an EC2 instance (Linux 2) with the latest Amazon Linux AMI and an IAM role granting SSM permissions for command execution, S3 log storage access, and CloudWatch monitoring.

Define a custom SSM Automation document to orchestrate a multi-step process: OS updates with reboot checks, Nginx installation, and curl-based validation of the web server, ensuring end-to-end configuration integrity.

Configure centralized logging to an S3 bucket for auditability and leverage IAM roles to enforce least-privilege access for SSM operations (e.g., associations, command execution).","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: EC2Instance
  Error: 'Fn::Sub' isn't needed because there are no variables",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Data\groud_truth\template\BashScriptSSMAutomationTags.yaml,"We need a CloudFormation template that creates an EC2 instance with tag-driven automation for OS updates, Nginx installation, and validation using AWS Systems Manager (SSM). The template should:

Deploy an EC2 instance (Linux 2) with the latest Amazon Linux AMI, an IAM role for SSM access, and a tag to trigger automated workflows.

Define a custom SSM Automation document to execute a multi-step process: OS updates with reboot checks, Nginx installation, and curl-based validation of the web server, ensuring end-to-end configuration integrity.

Target instances based on the nginx: Yes tag, enabling dynamic automation for tagged resources without hardcoding instance IDs.","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Data\groud_truth\template\network-stack.yaml,"We need a CloudFormation template that creates a production-ready VPC network infrastructure with one public and two private subnets, security groups, an internal Application Load Balancer (ALB), and an ECR repository for a containerized application. The template should:

Define a VPC with public subnets (internet-facing via an Internet Gateway) and private subnets (outbound access via a NAT Gateway) across three Availability Zones for high availability.

Configure security groups allowing HTTP/HTTPS, SSH, PostgreSQL, and internal VPC traffic, with broad ingress rules for simplicity during initial setup.

Deploy an internal ALB across private subnets with a default listener (port 80) returning error responses, ready for backend service integration.

Provision a private ECR repository with automated image scanning and store critical resource IDs (VPC, subnets, security groups, ALB listener) in SSM Parameter Store for cross-service referencing.","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: ECRRepository
  Error: {'Fn::Sub': '${EnvironmentName}-app-repository'} does not match '^(?=.{2,256}$)((?:[a-z0-9]+(?:[._-][a-z0-9]+)*/)*[a-z0-9]+(?:[._-][a-z0-9]+)*)$' when 'Fn::Sub' is resolved",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Data\groud_truth\template\organization_data_pipeline.yaml,"We need a CloudFormation template that creates a serverless pipeline to collect, store, and analyze AWS Organization data for centralized governance and reporting. The template should:

Provision an S3 bucket with encryption and strict access controls to store organizational data (accounts, OUs, tags) retrieved from the management account.

Deploy a Lambda function that assumes a cross-account IAM role to fetch AWS Organizations metadata (accounts, hierarchies, tags) on a weekly schedule via CloudWatch Events, writing results to S3 in JSON format.

Configure a Glue crawler to automatically catalog the S3 data into an Athena database (managementcur), enabling SQL-based querying for compliance or auditing.

Use parameterized inputs to customize the target S3 bucket, tags to include in reports, management account ID, and Athena database name.

Ensure secure permissions via IAM roles for Lambda (cross-account STS assume, Organizations read access) and Glue (S3 write access), while exporting resource ARNs for integration with analytics tools.

This template automates organization-wide visibility, centralizes data for audit readiness, and reduces manual data aggregation efforts through serverless orchestration.","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Data\groud_truth\template\web.yaml,We need a CloudFormation template that creates an AWS Amplify web application with a production branch to host and deploy a TodoApp.,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Data\groud_truth\template\pattern3-base.yaml,"We need a CloudFormation template that creates a secure, multi-AZ VPC architecture with public/private subnets and NAT Gateway connectivity following AWS Well-Architected security best practices. The template should:

Deploy a VPC with public subnets and private subnets across two Availability Zones (us-east-1a and us-east-1b), ensuring high availability.

Configure dedicated route tables for public/private subnets, enforcing controlled traffic flow (public subnets use IGW directly, private subnets route through NAT Gateway).

Tag all resources with identifiers for cost tracking and governance alignment.","Based on the evaluation, the template contains YAML Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: PublicSubnet1
  Error: Avoid hardcoding availability zones 'us-east-1a'
- Resource: PublicSubnet2
  Error: Avoid hardcoding availability zones 'us-east-1b'
- Resource: PrivateSubnet1
  Error: Avoid hardcoding availability zones 'us-east-1a'
- Resource: PrivateSubnet2
  Error: Avoid hardcoding availability zones 'us-east-1b'",detailed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Data\groud_truth\template\baseline-iam.yaml,"We need a CloudFormation template that creates a standardized IAM baseline with secure, role-based access controls and cross-account trust configurations for AWS account governance. The template should:

Define IAM groups and roles (e.g., PrivilegedAdmin, RestrictedAdmin, IdentityAdmin) with granular permissions, enforcing MFA requirements for elevated actions and role assumption to enhance security.

Establish cross-account trust relationships for centralized management, allowing trusted accounts (e.g., Identity Management Account, Tooling Management Account) to assume roles while restricting sensitive operations (e.g., billing, CloudHSM) via explicit deny policies.

Provision CloudFormation and StackSet execution roles with controlled permissions for infrastructure-as-code workflows, including template validation and stack management.","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Data\groud_truth\template\vpc-flow-logs-custom.yaml,"We need a CloudFormation template that creates a VPC with flow logging configured to monitor network traffic patterns. The template should automatically provision an S3 bucket for storing flow logs. The logs must capture specified traffic types and include comprehensive metadata fields. Security requirements include blocking public access to the S3 bucket, enforcing SSL for data transfers, and granting minimal permissions for AWS log delivery services. The solution should support optional log file prefixes for organizational structuring and output the final bucket name for integration with downstream systems. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: LogFilePrefix
  Error: Parameter LogFilePrefix not used.",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Data\groud_truth\template\risk_management.yaml,"We need a CloudFormation template that creates a risk management system for AWS workloads, which integrates logging, data storage, and notifications to track and respond to operational risks. The template should provision two AWS Lambda functions that interact with a DynamoDB table to store workload and risk-related data using composite keys (workload_id and question_id). It must define an IAM role granting the Lambda functions permissions to perform DynamoDB operations. Additionally, an SNS Topic is required to enable notifications, with a policy allowing SSM OpsCenter to publish alerts to this topic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Data\groud_truth\template\security-lab-stack.yaml,"We need a CloudFormation template that creates a secure, monitored web application environment in AWS, which includes a PHP/Apache web server, centralized logging, and compliant network infrastructure. The template should provision a VPC with a public subnet, internet gateway, and security group allowing HTTP access to host an EC2 instance running the latest Amazon Linux AMI. The instance must automatically install Apache and PHP, generate a dynamic webpage and enforce IAM roles for CloudWatch monitoring and Systems Manager (SSM) access. An S3 bucket with server-side encryption and restricted public access is required to store CloudWatch logs, configured via bucket policies to allow log ingestion. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Data\groud_truth\template\sample_environment_template.yaml,"We need a CloudFormation template that creates a lab environment for testing EC2 instance scheduling automation, which includes a VPC, managed instances, and an admin instance preconfigured with scheduling tools. The template should provision a VPC with a public subnet, internet gateway, and route tables to enable internet access for EC2 instances. It must deploy five lightweight (t3.nano) EC2 instances tagged for a development environment (`environment: dev`) and a dedicated admin instance that installs the AWS Instance Scheduler CLI via a user data script. The admin instance requires an IAM role with permissions to invoke Lambda functions and interact with CloudFormation, while all instances use SSM for management. Security configurations include a permissive security group (allowing unrestricted outbound traffic) and network isolation through VPC routing. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Data\groud_truth\template\automation_role.yaml,"We need a CloudFormation template that creates an IAM role for cross-service automation workflows, which centralizes permissions for Systems Manager (SSM), EC2, and monitoring tools. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Data\groud_truth\template\bucket_and_notification.yaml,"We need a CloudFormation template that creates an S3 bucket with event-driven notifications to an SNS topic, which automates alerts or workflows when new objects are uploaded. The template should provision an S3 bucket and an SNS topic, then configure the bucket to send notifications to the topic for all s3:ObjectCreated:* events. The SNS topic must include a policy allowing the S3 service to publish messages, restricted to the specific bucket and AWS account to prevent unauthorized access. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: S3BucketNotificationWithPrefix
  Error: Resource type 'AWS::S3::BucketNotification' does not exist in 'us-east-1'
- Resource: S3BucketNotificationNoPrefix
  Error: Resource type 'AWS::S3::BucketNotification' does not exist in 'us-east-1'
- Resource: S3BucketNotificationNoPrefix
  Error: {'Fn::Not': ['HasPrefix']} is not of type 'string'",detailed,"Based on the evaluation, the template contains YAML Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: NoPrefix
  Error: Condition NoPrefix not used",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,
107,Data\groud_truth\template\APIGateway_SQS_ReceiveMessages.yaml,"We need a CloudFormation template that creates a REST API Gateway integrated with an SQS queue to enable HTTP-based retrieval of messages, which simplifies polling for messages via a web endpoint. The template should provision an API Gateway with a GET method that maps to the SQS ReceiveMessage action, using AWS service integration to forward query parameters to SQS. It must configure an SQS queue with a policy allowing API Gateway to invoke ReceiveMessage, along with an IAM role granting the API Gateway permission to interact with the queue. ","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Data\groud_truth\template\cognito_sample.yaml,"We need a CloudFormation template that creates a secure AWS Cognito user management system for applications while enforcing admin-managed user provisioning. The template should provision a Cognito User Pool with email verification, a customizable password policy and a preconfigured domain for hosted login pages. It must support OAuth flows and authentication methods like password-based and refresh token auth.","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Data\groud_truth\template\mongoDB.yaml,"We need a CloudFormation template that creates an event-driven integration between AWS EventBridge and a MongoDB API endpoint, which routes application events to MongoDB for processing or logging. The template should provision an EventBridge event bus to capture custom events and configure an API destination using a MongoDB URL secured via API key authentication. It must define a connection with API key parameters (name and value) and an IAM role allowing EventBridge to invoke the MongoDB API endpoint. A dead-letter SQS queue is required to handle failed event deliveries, ensuring fault tolerance. For the MongoDBURL, you may use 'www.testanu.com'. For the ApiKeyName and ApiKeyValue you may use 'test_name' and 'test_value'.","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: EventBridgeConnection
  Error: 'BasicAuthParameters' is a required property
- Resource: EventBridgeConnection
  Error: 'OAuthParameters' is a required property
- Resource: EventBridgeConnection
  Error: 'ApiKeyAuthParameters' is a required property
- Resource: EventBridgeConnection
  Error: {'ApiKey': {'Key': {'Ref': 'ApiKeyName'}, 'Value': {'Ref': 'ApiKeyValue'}}} is not valid under any of the given schemas
- Resource: EventBridgeConnection
  Error: Additional properties are not allowed ('ApiKey' was unexpected)",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: EventBridgeConnection
  Error: 'Resources/EventBridgeConnection/Properties/AuthParameters' has more than 2 properties
- Resource: EventBridgeConnection
  Error: {'ApiKeyAuthParameters': {'ApiKeyName': {'Ref': 'ApiKeyName'}, 'ApiKeyValue': {'Ref': 'ApiKeyValue'}}, 'BasicAuthParameters': {'Username': '', 'Password': ''}, 'OAuthParameters': {'AuthorizationEndpoint': '', 'HttpMethod': 'GET', 'ClientParameters': {'ClientID': '', 'ClientSecret': ''}, 'OAuthHttpParameters': {'BodyParameters': [], 'HeaderParameters': [], 'QueryStringParameters': []}}} is valid under each of {'required': ['OAuthParameters']}, {'required': ['ApiKeyAuthParameters']}, {'required': ['BasicAuthParameters']}
- Resource: EventBridgeConnection
  Error: '' does not match '^[ \\t]*[^\\x00-\\x1F\\x7F]+([ \\t]+[^\\x00-\\x1F\\x7F]+)*[ \\t]*$'
- Resource: EventBridgeConnection
  Error: '' does not match '^[ \\t]*[^\\x00-\\x1F\\x7F]+([ \\t]+[^\\x00-\\x1F\\x7F]+)*[ \\t]*$'
- Resource: EventBridgeConnection
  Error: Password shouldn't be hardcoded for Resources/EventBridgeConnection/Properties/AuthParameters/BasicAuthParameters/Password
- Resource: EventBridgeConnection
  Error: '' does not match ""^((%[0-9A-Fa-f]{2}|[-()_.!~*';/?:@\\x26=+$,A-Za-z0-9])+)([).!';/?:,])?$""
- Resource: EventBridgeConnection
  Error: '' is shorter than 1
- Resource: EventBridgeConnection
  Error: '' does not match '^[ \\t]*[^\\x00-\\x1F\\x7F]+([ \\t]+[^\\x00-\\x1F\\x7F]+)*[ \\t]*$'
- Resource: EventBridgeConnection
  Error: '' does not match '^[ \\t]*[^\\x00-\\x1F\\x7F]+([ \\t]+[^\\x00-\\x1F\\x7F]+)*[ \\t]*$'",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Data\groud_truth\template\crossAccResources.yaml,"We need a CloudFormation template that creates a cross-account private API Gateway integrated with a Lambda function, which enforces secure access via a VPC endpoint and custom domain. The template should provision a private API Gateway (configured to allow access only from a specified VPC endpoint ID) with a Lambda backend that returns a simple response. It must include IAM roles for Lambda execution (with basic CloudWatch logging permissions) and API Gateway-to-Lambda invocation policies. The API Gateway is deployed with a custom domain name and a stage, ensuring controlled access through VPC endpoint restrictions. ","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Data\groud_truth\template\DataDogApiDestination.yaml,"We need a CloudFormation template that creates an EventBridge integration with DataDog for centralized log forwarding, which automates the delivery of application logs to DataDog's API. The template should provision an EventBridge event bus to capture events from a specified source (MyDataDogApp) and configure an API destination targeting DataDog's log ingestion endpoint (https://http-intake.logs.datadoghq.com). It must define a secure connection using a DataDog API key (testanu) for authentication and an IAM role granting EventBridge permissions to invoke the API destination. A dead-letter SQS queue is included to handle failed log deliveries, ensuring fault tolerance. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: DataDogConnection
  Error: 'BasicAuthParameters' is a required property
- Resource: DataDogConnection
  Error: 'OAuthParameters' is a required property
- Resource: DataDogConnection
  Error: 'ApiKeyAuthParameters' is a required property
- Resource: DataDogConnection
  Error: {'ApiKey': {'Key': 'DD-API-KEY', 'Value': {'Ref': 'DataDogApiKey'}}} is not valid under any of the given schemas
- Resource: DataDogConnection
  Error: Additional properties are not allowed ('ApiKey' was unexpected)",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: DataDogConnection
  Error: 'Resources/DataDogConnection/Properties/AuthParameters' has more than 2 properties
- Resource: DataDogConnection
  Error: {'ApiKeyAuthParameters': {'ApiKeyName': 'DD-API-KEY', 'ApiKeyValue': {'Ref': 'DataDogApiKey'}}, 'BasicAuthParameters': {'Username': 'not-used', 'Password': 'not-used'}, 'OAuthParameters': {'AuthorizationEndpoint': 'https://not-used.com', 'HttpMethod': 'GET', 'ClientParameters': {'ClientID': 'not-used', 'ClientSecret': 'not-used'}, 'OAuthHttpParameters': {'BodyParameters': [], 'HeaderParameters': [], 'QueryStringParameters': []}}} is valid under each of {'required': ['OAuthParameters']}, {'required': ['ApiKeyAuthParameters']}, {'required': ['BasicAuthParameters']}
- Resource: DataDogConnection
  Error: Password shouldn't be hardcoded for Resources/DataDogConnection/Properties/AuthParameters/BasicAuthParameters/Password",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Data\groud_truth\template\sns-sqs.yaml,"We need a CloudFormation template that creates an S3 bucket with an SQS queue for event-driven object upload notifications. The template should provision an S3 bucket and an SQS queue, then configure the bucket to send notifications to the queue for all s3:ObjectCreated:* events. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: S3Bucket
  Error: Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion
- Resource: S3BucketNotification
  Error: Resource type 'AWS::S3::BucketNotification' does not exist in 'us-east-1'",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Data\groud_truth\template\sns_with_events.yaml,"We need a CloudFormation template that creates an EventBridge rule with an SNS topic. The template should provision an SNS topic and an EventBridge rule that matches events from a predefined source (demo.cli). It must configure the EventBridge rule to forward matched events to the SNS topic, along with a topic policy granting EventBridge permissions to publish messages. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Data\groud_truth\template\b2bi.yaml,"We need a CloudFormation template that creates an AWS B2B Data Interchange (B2BI) pipeline for transforming EDI X12_214 documents into JSON, which automates electronic data interchange workflows for business partners. The template should provision a B2BI profile with business contact details (name, email, phone) and a transformer resource defining the mapping logic to convert EDI transactions into structured JSON. It must configure an input S3 bucket to receive raw EDI files and an output S3 bucket to store transformed JSON data. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: B2BIProfile
  Error: 'Logging' is a required property
- Resource: B2BIProfile
  Error: Additional properties are not allowed ('LoggingConfiguration' was unexpected)
- Resource: B2BIProfile
  Error: Additional properties are not allowed ('RoleArn' was unexpected)
- Resource: B2BITransformer
  Error: 'Status' is a required property
- Resource: B2BITransformer
  Error: 'X12' is not one of ['XML', 'JSON', 'NOT_USED']
- Resource: B2BICapability
  Error: 'TRANSFORM' is not one of ['edi']
- Resource: B2BICapability
  Error: Additional properties are not allowed ('ProfileId' was unexpected)
- Resource: B2BICapability
  Error: 'Edi' is a required property
- Resource: B2BICapability
  Error: {'TransformerId': {'Ref': 'B2BITransformer'}, 'InputLocation': {'S3Location': {'BucketName': {'Ref': 'InputS3Bucket'}, 'Key': 'input/'}}, 'OutputLocation': {'S3Location': {'BucketName': {'Ref': 'OutputS3Bucket'}, 'Key': 'output/'}}} is not valid under any of the given schemas
- Resource: B2BICapability
  Error: Additional properties are not allowed ('TransformerId' was unexpected)
- Resource: B2BICapability
  Error: Additional properties are not allowed ('InputLocation' was unexpected)
- Resource: B2BICapability
  Error: Additional properties are not allowed ('OutputLocation' was unexpected)
- Resource: B2BIPartnership
  Error: 'Capabilities' is a required property
- Resource: B2BIPartnership
  Error: [{'CapabilityId': {'Ref': 'B2BICapability'}, 'Instruction': 'Process X12 214 shipment status messages and convert to JSON'}] is not of type 'object'",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: B2BIProfile
  Error: True is not one of ['ENABLED', 'DISABLED']
- Resource: B2BITransformer
  Error: 'ACTIVE' is not one of ['active', 'inactive']
- Resource: B2BICapability
  Error: Additional properties are not allowed ('Edi' was unexpected)
- Resource: B2BICapability
  Error: 'Edi' is a required property
- Resource: B2BICapability
  Error: {'InputLocation': {'S3Location': {'BucketName': {'Ref': 'InputS3Bucket'}, 'Key': 'input/'}}, 'OutputLocation': {'S3Location': {'BucketName': {'Ref': 'OutputS3Bucket'}, 'Key': 'output/'}}} is not valid under any of the given schemas
- Resource: B2BICapability
  Error: Additional properties are not allowed ('InputLocation' was unexpected)
- Resource: B2BICapability
  Error: Additional properties are not allowed ('OutputLocation' was unexpected)
- Resource: B2BIPartnership
  Error: 'ProfileId' is a required property
- Resource: B2BIPartnership
  Error: {'CapabilityId': {'Ref': 'B2BICapability'}, 'Instruction': 'Process X12 214 shipment status messages and convert to JSON'} is not of type 'array'",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: B2BICapability
  Error: 'Configuration' is a required property
- Resource: B2BICapability
  Error: Additional properties are not allowed ('Edi' was unexpected)
- Resource: B2BIPartnership
  Error: {'CapabilityId': {'Ref': 'B2BICapability'}, 'Instruction': 'Process X12 214 shipment status messages and convert to JSON'} is not of type 'string'",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: B2BICapability
  Error: 'Edi' is a required property
- Resource: B2BICapability
  Error: {'TransformerID': {'Ref': 'B2BITransformer'}, 'InputLocation': {'S3Location': {'BucketName': {'Ref': 'InputS3Bucket'}, 'Key': 'input/'}}, 'OutputLocation': {'S3Location': {'BucketName': {'Ref': 'OutputS3Bucket'}, 'Key': 'output/'}}} is not valid under any of the given schemas
- Resource: B2BICapability
  Error: Additional properties are not allowed ('TransformerID' was unexpected)
- Resource: B2BICapability
  Error: Additional properties are not allowed ('InputLocation' was unexpected)
- Resource: B2BICapability
  Error: Additional properties are not allowed ('OutputLocation' was unexpected)",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,
115,Data\groud_truth\template\sns-secretsmanager.yaml,"We need a CloudFormation template that creates an automated monitoring and alerting system for AWS Secrets Manager activities, which sends email notifications for critical secret lifecycle events. The template should provision an EventBridge rule to detect Secrets Manager API calls and route these events to an SNS topic. ","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Data\groud_truth\template\sns_with_sqs.yaml,"We need a CloudFormation template that creates an SNS-to-SQS fanout system with filtered message routing, which enables scalable and selective message processing for different metric types (e.g., temperature, humidity). The template should provision a central SNS topic and three SQS queues: one for **all metrics**, and two filtered queues (`TemperatureSqsQueue`, `HumiditySqsQueue`) that receive only messages tagged with specific attributes (`MetricType: Temperature` or `Humidity`). Each queue includes a dead-letter queue to handle message processing failures. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Data\groud_truth\template\DynamoDB_to_EventBridge.yaml,"We need a CloudFormation template that creates an event-driven integration between DynamoDB streams and EventBridge, which routes real-time database changes (inserts and updates) to a centralized event bus for downstream processing. The template should provision a DynamoDB table with streaming enabled to capture item modifications, an EventBridge event bus, and two EventBridge Pipes to filter and forward specific events (e.g., `INSERT` for new orders, `MODIFY` for updates) to the bus. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: InsertEventsPipe
  Error: 'DynamoDBTable' dependency already enforced by a 'GetAtt' at 'Resources/InsertEventsPipe/Properties/Source'
- Resource: InsertEventsPipe
  Error: 'DynamoDBTable' dependency already enforced by a 'GetAtt' at 'Resources/InsertEventsPipe/Properties/Enrichment'
- Resource: InsertEventsPipe
  Error: 'EventBridgeEventBus' dependency already enforced by a 'GetAtt' at 'Resources/InsertEventsPipe/Properties/Target'
- Resource: InsertEventsPipe
  Error: 'EventBridgePipesRole' dependency already enforced by a 'GetAtt' at 'Resources/InsertEventsPipe/Properties/RoleArn'
- Resource: InsertEventsPipe
  Error: 'InsertEventsDLQ' dependency already enforced by a 'GetAtt' at 'Resources/InsertEventsPipe/Properties/SourceParameters/DynamoDBStreamParameters/DeadLetterConfig/Arn'
- Resource: ModifyEventsPipe
  Error: 'DynamoDBTable' dependency already enforced by a 'GetAtt' at 'Resources/ModifyEventsPipe/Properties/Source'
- Resource: ModifyEventsPipe
  Error: 'DynamoDBTable' dependency already enforced by a 'GetAtt' at 'Resources/ModifyEventsPipe/Properties/Enrichment'
- Resource: ModifyEventsPipe
  Error: 'EventBridgeEventBus' dependency already enforced by a 'GetAtt' at 'Resources/ModifyEventsPipe/Properties/Target'
- Resource: ModifyEventsPipe
  Error: 'EventBridgePipesRole' dependency already enforced by a 'GetAtt' at 'Resources/ModifyEventsPipe/Properties/RoleArn'
- Resource: ModifyEventsPipe
  Error: 'ModifyEventsDLQ' dependency already enforced by a 'GetAtt' at 'Resources/ModifyEventsPipe/Properties/SourceParameters/DynamoDBStreamParameters/DeadLetterConfig/Arn'",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: InsertEventsPipe
  Error: Additional properties are not allowed ('FilterCriteria' was unexpected)
- Resource: ModifyEventsPipe
  Error: Additional properties are not allowed ('FilterCriteria' was unexpected)",detailed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
